"Step","ddqn_yf52szb3 - Ask Price","ddqn_yf52szb3 - Ask Price__MIN","ddqn_yf52szb3 - Ask Price__MAX"
"26388","99.98","99.98","99.98"
"26922","100.03","100.03","100.03"
"26979","100.02","100.02","100.02"
"27068","100.01","100.01","100.01"
"27320","99.99","99.99","99.99"
"27416","99.99","99.99","99.99"
"27641","100.00999999999999","100.00999999999999","100.00999999999999"
"27754","100.02","100.02","100.02"
"27880","100.00999999999999","100.00999999999999","100.00999999999999"
"27945","100.02","100.02","100.02"
"27990","100.05","100.05","100.05"
"28083","99.99","99.99","99.99"
"28211","100.01","100.01","100.01"
"28311","100.02","100.02","100.02"
"28552","100.03","100.03","100.03"
"28584","100","100","100"
"28733","100.00999999999999","100.00999999999999","100.00999999999999"
"28754","100.01","100.01","100.01"
"29011","100.05","100.05","100.05"
"29028","100.00999999999999","100.00999999999999","100.00999999999999"
"29632","100.00999999999999","100.00999999999999","100.00999999999999"
"29680","99.99000000000001","99.99000000000001","99.99000000000001"
"29901","99.97","99.97","99.97"
"29916","100.00999999999999","100.00999999999999","100.00999999999999"
"30075","100.00999999999999","100.00999999999999","100.00999999999999"
"30105","99.99","99.99","99.99"
"30135","100.00999999999999","100.00999999999999","100.00999999999999"
"30492","100.00999999999999","100.00999999999999","100.00999999999999"
"30516","100.04","100.04","100.04"
"30654","100.02","100.02","100.02"
"30704","99.99","99.99","99.99"
"30728","100.00999999999999","100.00999999999999","100.00999999999999"
"30977","100.00999999999999","100.00999999999999","100.00999999999999"
"31063","100.03","100.03","100.03"
"31076","100","100","100"
"31413","99.99","99.99","99.99"
"31589","100.03","100.03","100.03"
"31643","100.00999999999999","100.00999999999999","100.00999999999999"
"31671","100.01","100.01","100.01"
"31685","100.02","100.02","100.02"
"31878","99.98","99.98","99.98"
"31885","100.00999999999999","100.00999999999999","100.00999999999999"
"31896","100.03","100.03","100.03"
"32154","100.03","100.03","100.03"
"32156","100.03999999999999","100.03999999999999","100.03999999999999"
"32273","100.05","100.05","100.05"
"32472","100.02","100.02","100.02"
"33110","100.00999999999999","100.00999999999999","100.00999999999999"
"33167","100","100","100"
"33337","99.99","99.99","99.99"
"33361","100.02","100.02","100.02"
"33571","99.97","99.97","99.97"
"33595","100.03999999999999","100.03999999999999","100.03999999999999"
"33637","100.03","100.03","100.03"
