"Step","ddqn_5jioz8z8 - Ask Price","ddqn_5jioz8z8 - Ask Price__MIN","ddqn_5jioz8z8 - Ask Price__MAX"
"40393","100.00999999999999","100.00999999999999","100.00999999999999"
"40486","100.02","100.02","100.02"
"40659","100.02","100.02","100.02"
"40973","100.03999999999999","100.03999999999999","100.03999999999999"
"41039","100.04","100.04","100.04"
"41042","100.02000000000001","100.02000000000001","100.02000000000001"
"41161","100.02","100.02","100.02"
"41304","100.03","100.03","100.03"
"41457","100.02","100.02","100.02"
"41610","100.02","100.02","100.02"
"41712","99.99","99.99","99.99"
"41842","100.02","100.02","100.02"
"41944","99.98","99.98","99.98"
"42048","100.03","100.03","100.03"
"42377","100.05","100.05","100.05"
"42434","100.02","100.02","100.02"
"42511","100.03999999999999","100.03999999999999","100.03999999999999"
"42515","100.03","100.03","100.03"
"42563","100.02","100.02","100.02"
"42669","100.02","100.02","100.02"
"42743","100.02","100.02","100.02"
"42880","100.02","100.02","100.02"
"42903","100.06","100.06","100.06"
"42904","100.07","100.07","100.07"
"43003","100.08","100.08","100.08"
"43062","100.00999999999999","100.00999999999999","100.00999999999999"
"43189","100.05","100.05","100.05"
"43428","100.02","100.02","100.02"
"43619","100.00999999999999","100.00999999999999","100.00999999999999"
"43786","100.03","100.03","100.03"
"43862","100.07","100.07","100.07"
"43982","100.03","100.03","100.03"
"44200","100.01","100.01","100.01"
"44230","100.00999999999999","100.00999999999999","100.00999999999999"
"44654","100.00999999999999","100.00999999999999","100.00999999999999"
"44756","100","100","100"
"44829","100.06","100.06","100.06"
"45032","100","100","100"
"45139","100.02","100.02","100.02"
"45147","100.02","100.02","100.02"
"45256","100.05","100.05","100.05"
"45277","100.01","100.01","100.01"
"45355","99.97","99.97","99.97"
"45409","100.06","100.06","100.06"
"45525","100.05","100.05","100.05"
"45644","100.02","100.02","100.02"
"45654","100.00999999999999","100.00999999999999","100.00999999999999"
"45964","100.00999999999999","100.00999999999999","100.00999999999999"
"46007","100.03","100.03","100.03"
"46039","100.03","100.03","100.03"
"46059","100.03","100.03","100.03"
"46146","100.09","100.09","100.09"
"46301","100.02","100.02","100.02"
"46339","100","100","100"
"46525","100.03999999999999","100.03999999999999","100.03999999999999"
